"","x"
"California-Lexington Park, MD",4
"Cambridge, MD",4
"Cambridge, OH",5
"Camden, AR",2
"Campbellsville, KY",10
"Canon City, CO",4
"Canton, IL",3
"Canton-Massillon, OH",5
"Cape Coral-Fort Myers, FL",4
"Cape Girardeau, MO-IL",2
"Carbondale-Marion, IL",2
"Carlsbad-Artesia, NM",1
"Carson City, NV",4
"Casper, WY",3
"Cedar City, UT",4
"Cedar Rapids, IA",3
"Cedartown, GA",2
"Celina, OH",10
"Centralia, IL",2
"Centralia, WA",2
"Chambersburg-Waynesboro, PA",10
"Champaign-Urbana, IL",8
"Charleston, WV",10
"Charleston-Mattoon, IL",8
"Charleston-North Charleston, SC",4
"Charlotte-Concord-Gastonia, NC-SC",4
"Charlottesville, VA",8
"Chattanooga, TN-GA",4
"Cheyenne, WY",1
"Chicago-Naperville-Elgin, IL-IN-WI",6
"Chico, CA",6
"Chillicothe, OH",5
"Cincinnati, OH-KY-IN",5
"Claremont-Lebanon, NH-VT",9
"Clarksburg, WV",10
"Clarksdale, MS",9
"Clarksville, TN-KY",4
"Clearlake, CA",2
"Cleveland, MS",7
"Cleveland, TN",2
"Cleveland-Elyria, OH",5
"Clewiston, FL",2
"Clinton, IA",3
"Clovis, NM",1
"Coeur d'Alene, ID",4
"Coffeyville, KS",2
"Coldwater, MI",5
"College Station-Bryan, TX",8
"Colorado Springs, CO",4
"Columbia, MO",8
"Columbia, SC",4
"Columbus, GA-AL",4
"Columbus, IN",10
"Columbus, MS",10
"Columbus, NE",3
"Columbus, OH",5
"Concord, NH",10
"Connersville, IN",5
"Cookeville, TN",2
"Coos Bay, OR",4
"Cordele, GA",7
"Corinth, MS",10
"Cornelia, GA",4
"Corning, NY",10
"Corpus Christi, TX",4
"Corsicana, TX",2
"Cortland, NY",4
"Corvallis, OR",8
"Coshocton, OH",9
"Crescent City, CA",2
"Crestview-Fort Walton Beach-Destin, FL",4
"Crossville, TN",9
"Cullman, AL",2
"Cullowhee, NC",2
"Cumberland, MD-WV",2
"Dallas-Fort Worth-Arlington, TX",4
"Dalton, GA",2
"Danville, IL",2
"Danville, KY",10
"Danville, VA",2
"Daphne-Fairhope-Foley, AL",4
"Davenport-Moline-Rock Island, IA-IL",4
"Dayton, OH",5
"Dayton, TN",2
"Decatur, AL",2
"Decatur, IL",2
"Decatur, IN",5
"Defiance, OH",5
"Del Rio, TX",1
"Deltona-Daytona Beach-Ormond Beach, FL",4
"Deming, NM",1
"Denver-Aurora-Lakewood, CO",6
"DeRidder, LA",2
"Des Moines-West Des Moines, IA",3
"Detroit-Warren-Dearborn, MI",5
"Dickinson, ND",1
"Dodge City, KS",1
"Dothan, AL",2
"Douglas, GA",2
"Dover, DE",4
"Dublin, GA",2
"DuBois, PA",2
"Dubuque, IA",3
"Duluth, MN-WI",3
"Duncan, OK",2
"Dunn, NC",4
"Durango, CO",1
"Durant, OK",2
"Durham-Chapel Hill, NC",4
"Dyersburg, TN",2
"Eagle Pass, TX",9
"Easton, MD",4
"East Stroudsburg, PA",10
"Eau Claire, WI",3
"Edwards, CO",4
"Effingham, IL",3
"El Campo, TX",2
"El Centro, CA",11
"El Dorado, AR",2
"Elizabeth City, NC",10
"Elizabethtown-Fort Knox, KY",10
"Elk City, OK",1
"Elkhart-Goshen, IN",5
"Elkins, WV",2
"Elko, NV",1
"Ellensburg, WA",8
"Elmira, NY",4
"El Paso, TX",1
"Emporia, KS",8
"Enid, OK",3
"Enterprise, AL",4
"Erie, PA",4
"Espanola, NM",1
"Eugene, OR",4
"Eureka-Arcata-Fortuna, CA",8
"Evanston, WY",3
"Evansville, IN-KY",4
"Fairfield, IA",10
"Fairmont, WV",10
"Fallon, NV",4
"Fargo, ND-MN",3
"Faribault-Northfield, MN",3
"Farmington, MO",2
"Farmington, NM",1
"Fayetteville, NC",4
"Fayetteville-Springdale-Rogers, AR-MO",4
"Fergus Falls, MN",3
"Fernley, NV",1
"Findlay, OH",5
"Fitzgerald, GA",2
"Flagstaff, AZ",8
"Flint, MI",5
"Florence, SC",2
"Florence-Muscle Shoals, AL",2
"Fond du Lac, WI",3
"Forest City, NC",2
"Forrest City, AR",7
"Fort Collins, CO",4
"Fort Dodge, IA",3
"Fort Leonard Wood, MO",8
"Fort Madison-Keokuk, IA-IL-MO",10
"Fort Morgan, CO",1
"Fort Polk South, LA",10
"Fort Smith, AR-OK",2
"Fort Wayne, IN",5
"Frankfort, IN",3
"Frankfort, KY",4
"Fremont, NE",3
"Fremont, OH",5
"Fresno, CA",11
"Gadsden, AL",2
"Gaffney, SC",2
"Gainesville, FL",8
"Gainesville, GA",4
"Galesburg, IL",3
"Gallup, NM",9
"Garden City, KS",3
"Gardnerville Ranchos, NV",4
"Georgetown, SC",2
"Gettysburg, PA",4
"Gillette, WY",1
"Glasgow, KY",10
"Glens Falls, NY",3
"Glenwood Springs, CO",4
"Gloversville, NY",2
"Goldsboro, NC",2
"Grand Forks, ND-MN",3
"Grand Island, NE",3
"Grand Junction, CO",4
"Grand Rapids-Wyoming, MI",5
"Grants, NM",1
"Grants Pass, OR",10
"Great Bend, KS",3
"Great Falls, MT",10
"Greeley, CO",4
"Green Bay, WI",3
"Greeneville, TN",2
"Greenfield Town, MA",4
"Greensboro-High Point, NC",4
"Greenville, MS",7
"Greenville, NC",8
"Greenville, OH",10
"Greenville-Anderson-Mauldin, SC",4
"Greenwood, MS",7
"Greenwood, SC",2
"Gulfport-Biloxi-Pascagoula, MS",2
"Guymon, OK",1
"Hagerstown-Martinsburg, MD-WV",4
"Hammond, LA",2
"Hanford-Corcoran, CA",11
"Hannibal, MO",3
"Harrisburg-Carlisle, PA",4
"Harrison, AR",2
"Harrisonburg, VA",4
"Hartford-West Hartford-East Hartford, CT",6
"Hastings, NE",3
"Hattiesburg, MS",2
"Hays, KS",8
"Helena, MT",4
"Helena-West Helena, AR",7
"Henderson, NC",2
"Hermiston-Pendleton, OR",2
"Hickory-Lenoir-Morganton, NC",4
"Hillsdale, MI",10
"Hilton Head Island-Bluffton-Beaufort, SC",4
"Hinesville, GA",4
"Hobbs, NM",1
"Holland, MI",5
"Homosassa Springs, FL",10
"Hood River, OR",1
"Hot Springs, AR",2
"Houghton, MI",9
"Houma-Thibodaux, LA",2
"Houston-The Woodlands-Sugar Land, TX",4
"Hudson, NY",4
"Huntingdon, PA",3
"Huntington, IN",3
"Huntington-Ashland, WV-KY-OH",10
"Huntsville, AL",4
"Huntsville, TX",2
"Huron, SD",3
"Hutchinson, KS",3
"Hutchinson, MN",3
"Idaho Falls, ID",10
"Indiana, PA",4
"Indianapolis-Carmel-Anderson, IN",4
"Indianola, MS",7
"Ionia, MI",5
"Iowa City, IA",8
"Iron Mountain, MI-WI",3
"Ithaca, NY",8
"Jackson, MI",5
"Jackson, MS",2
"Jackson, TN",2
"Jackson, WY-ID",9
"Jacksonville, FL",4
"Jacksonville, IL",3
"Jacksonville, NC",4
"Jacksonville, TX",2
"Jamestown, ND",3
"Jamestown-Dunkirk-Fredonia, NY",3
"Janesville-Beloit, WI",3
"Jasper, IN",3
"Jefferson, GA",10
"Jefferson City, MO",3
"Jesup, GA",2
"Johnson City, TN",4
"Johnstown, PA",4
"Jonesboro, AR",2
"Joplin, MO",3
"Junction City, KS",4
"Kalamazoo-Portage, MI",5
"Kalispell, MT",4
"Kankakee, IL",5
"Kansas City, MO-KS",4
"Kearney, NE",3
"Keene, NH",10
"Kendallville, IN",3
"Kennett, MO",2
"Kennewick-Richland, WA",4
"Kerrville, TX",4
"Kill Devil Hills, NC",4
"Killeen-Temple, TX",2
"Kingsport-Bristol-Bristol, TN-VA",4
"Kingston, NY",4
"Kingsville, TX",2
"Kinston, NC",2
"Kirksville, MO",8
"Klamath Falls, OR",4
"Knoxville, TN",4
"Kokomo, IN",5
"Laconia, NH",4
"La Crosse-Olaska, WI-MN",3
"Lafayette, LA",4
"Lafayette-West Lafayette, IN",8
"La Grande, OR",4
"LaGrange, GA",2
"Lake Charles, LA",2
"Lake City, FL",2
"Lake Havasu City-Kingman, AZ",1
"Lakeland-Winter Haven, FL",2
"Lancaster, PA",4
"Lansing-East Lansing, MI",5
"Laramie, WY",8
"Laredo, TX",9
"Las Vegas, NM",1
"Las Vegas-Henderson-Paradise, NV",1
"Laurel, MS",2
"Laurinburg, NC",7
"Lawrence, KS",8
"Lawrenceburg, TN",2
"Lawton, OK",2
"Lebanon, MO",10
"Lebanon, PA",4
"Levelland, TX",1
"Lewisburg, PA",3
"Lewisburg, TN",3
"Lewiston, ID-WA",10
"Lewiston-Auburn, ME",4
"Lexington, NE",3
"Lexington-Fayette, KY",8
"Liberal, KS",1
"Lima, OH",5
"Lincoln, IL",3
"Lincoln, NE",8
"Little Rock-North Little Rock-Conway, AR",4
"Lock Haven, PA",10
"Logan, UT-ID",4
"Logan, WV",1
"Logansport, IN",10
"London, KY",2
"Longview, TX",2
"Longview, WA",1
"Los Alamos, NM",9
"Los Angeles-Long Beach-Aheim, CA",11
"Louisville/Jefferson County, KY-IN",4
"Lubbock, TX",1
"Ludington, MI",5
"Lufkin, TX",2
"Lumberton, NC",2
"Macomb, IL",8
"Macon-Bibb County, GA",2
"Madera, CA",11
"Madison, IN",3
"Madison, WI",8
"Madisonville, KY",10
"Magnolia, AR",2
"Malone, NY",3
"Malvern, AR",2
"Manchester-Nashua, NH",4
"Manhattan, KS",8
"Manitowoc, WI",3
"Mankato-North Mankato, MN",3
"Mansfield, OH",5
"Marietta, OH",10
"Marinette, WI-MI",3
"Marion, IN",5
"Marion, NC",10
"Marion, OH",5
"Marquette, MI",4
"Marshall, MN",3
"Marshall, MO",3
"Marshall, TX",2
"Marshalltown, IA",3
"Martin, TN",10
"Martinsville, VA",2
"Maryville, MO",8
"Mason City, IA",3
"Mayfield, KY",5
"Maysville, KY",10
"McAlester, OK",2
"McAllen-Edinburg-Mission, TX",10
"McComb, MS",9
"McMinnville, TN",2
"McPherson, KS",3
"Meadville, PA",4
"Medford, OR",4
"Memphis, TN-MS-AR",2
"Menomonie, WI",1
"Merced, CA",11
"Meridian, MS",2
"Merrill, WI",1
"Mexico, MO",3
"Miami, OK",2
"Miami-Fort Lauderdale-West Palm Beach, FL",6
"Michigan City-La Porte, IN",2
"Middlesborough, KY",9
"Midland, MI",5
"Midland, TX",1
"Milledgeville, GA",7
"Milwaukee-Waukesha-West Allis, WI",4
"Mineral Wells, TX",2
"Minneapolis-St. Paul-Bloomington, MN-WI",4
"Minot, ND",1
"Missoula, MT",6
"Mitchell, SD",3
"Moberly, MO",3
"Mobile, AL",2
"Modesto, CA",11
"Monroe, LA",2
"Monroe, MI",5
"Montgomery, AL",2
"Montrose, CO",4
"Morehead City, NC",4
"Morgan City, LA",2
"Morgantown, WV",8
"Morristown, TN",2
"Moscow, ID",8
"Moses Lake, WA",10
"Moultrie, GA",4
"Mountain Home, AR",3
"Mountain Home, ID",10
"Mount Airy, NC",2
"Mount Pleasant, MI",8
"Mount Pleasant, TX",2
"Mount Sterling, KY",10
"Mount Vernon, IL",2
"Mount Vernon, OH",5
"Mount Vernon-Acortes, WA",4
"Muncie, IN",8
"Murray, KY",4
"Muscatine, IA",3
"Muskegon, MI",5
"Muskogee, OK",2
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",4
"Nacogdoches, TX",8
"Napa, CA",6
"Naples-Immokalee-Marco Island, FL",4
"Nashville-Davidson--Murfreesboro--Franklin, TN",4
"Natchez, MS-LA",7
"Natchitoches, LA",7
"New Bern, NC",4
"Newberry, SC",2
"New Castle, IN",5
"New Castle, PA",5
"New Haven-Milford, CT",6
"New Orleans-Metairie, LA",4
"New Philadelphia-Dover, OH",5
"Newport, OR",4
"Newport, TN",9
"Newton, IA",3
"New Ulm, MN",3
"New York-Newark-Jersey City, NY-NJ-PA",6
"Niles-Benton Harbor, MI",5
"Nogales, AZ",1
"Norfolk, NE",3
"North Platte, NE",3
"North Port-Sarasota-Bradenton, FL",4
"North Vernon, IN",10
"North Wilkesboro, NC",2
"Norwalk, OH",5
"Norwich-New London, CT",4
"Oak Harbor, WA",4
"Ocala, FL",2
"Ocean City, NJ",4
"Odessa, TX",1
"Ogden-Clearfield, UT",4
"Ogdensburg-Massena, NY",4
"Oil City, PA",10
"Okeechobee, FL",2
"Oklahoma City, OK",4
"Olean, NY",10
"Olympia-Tumwater, WA",4
"Omaha-Council Bluffs, NE-IA",4
"Oneonta, NY",4
"Ontario, OR-ID",2
"Opelousas, LA",2
"Orangeburg, SC",2
"Orlando-Kissimmee-Sanford, FL",4
"Oshkosh-Neeh, WI",3
"Oskaloosa, IA",4
"Othello, WA",2
"Ottawa, KS",3
"Ottawa-Peru, IL",3
"Ottumwa, IA",3
"Owatonna, MN",3
"Owensboro, KY",3
"Owosso, MI",5
"Oxford, MS",8
"Oxford, NC",4
"Oxnard-Thousand Oaks-Ventura, CA",6
"Ozark, AL",2
"Paducah, KY-IL",2
"Pahrump, NV",1
"Palatka, FL",2
"Palestine, TX",2
"Palm Bay-Melbourne-Titusville, FL",4
"Pampa, TX",1
"Panama City, FL",4
"Paragould, AR",3
"Paris, TN",10
"Paris, TX",2
"Parkersburg-Vienna, WV",10
"Parsons, KS",10
"Payson, AZ",1
"Pensacola-Ferry Pass-Brent, FL",4
"Peoria, IL",3
"Peru, IN",3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6
"Phoenix-Mesa-Scottsdale, AZ",6
"Picayune, MS",10
"Pine Bluff, AR",2
"Pinehurst-Southern Pines, NC",4
"Pittsburg, KS",8
"Pittsburgh, PA",4
"Pittsfield, MA",4
"Plainview, TX",1
"Platteville, WI",3
"Plattsburgh, NY",3
"Plymouth, IN",3
"Pocatello, ID",10
"Point Pleasant, WV-OH",10
"Ponca City, OK",2
"Pontiac, IL",3
"Poplar Bluff, MO",2
"Portales, NM",1
"Port Angeles, WA",4
"Port Clinton, OH",5
"Portland-South Portland, ME",4
"Portland-Vancouver-Hillsboro, OR-WA",4
"Port Lavaca, TX",2
"Port St. Lucie, FL",4
"Portsmouth, OH",5
"Pottsville, PA",3
"Prescott, AZ",1
"Price, UT",10
"Prineville, OR",2
"Providence-Warwick, RI-MA",4
"Provo-Orem, UT",4
"Pueblo, CO",4
"Pullman, WA",8
"Punta Gorda, FL",4
"Quincy, IL-MO",3
"Racine, WI",5
"Raleigh, NC",4
"Rapid City, SD",1
"Reading, PA",4
"Red Bluff, CA",2
"Redding, CA",4
"Red Wing, MN",3
"Reno, NV",4
"Rexburg, ID",8
"Richmond, IN",10
"Richmond, VA",4
"Richmond-Berea, KY",10
"Riverside-San Bernardino-Ontario, CA",11
"Riverton, WY",1
"Roanoke, VA",4
"Roanoke Rapids, NC",2
"Rochelle, IL",10
"Rochester, MN",3
"Rochester, NY",4
"Rockford, IL",3
"Rockingham, NC",2
"Rock Springs, WY",3
"Rocky Mount, NC",2
"Rolla, MO",8
"Rome, GA",4
"Roseburg, OR",9
"Roswell, NM",1
"Russellville, AR",2
"Ruston, LA",8
"Rutland, VT",9
"Sacramento--Roseville--Arden-Arcade, CA",6
"Safford, AZ",1
"Saginaw, MI",5
"St. Cloud, MN",3
"St. George, UT",4
"St. Joseph, MO-KS",3
"St. Louis, MO-IL",4
"St. Marys, GA",4
"Salem, OH",5
"Salem, OR",4
"Salina, KS",3
"Salinas, CA",4
"Salisbury, MD-DE",4
"Salt Lake City, UT",4
"San Angelo, TX",1
"San Antonio-New Braunfels, TX",4
"San Diego-Carlsbad, CA",6
"Sandusky, OH",5
"Sanford, NC",4
"San Francisco-Oakland-Hayward, CA",6
"San Jose-Sunnyvale-Santa Clara, CA",6
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",6
"Santa Cruz-Watsonville, CA",6
"Santa Fe, NM",1
"Santa Maria-Santa Barbara, CA",6
"Santa Rosa, CA",4
"Sault Ste. Marie, MI",3
"Savannah, GA",4
"Sayre, PA",10
"Scottsbluff, NE",3
"Scottsboro, AL",2
"Scranton--Wilkes-Barre--Hazleton, PA",4
"Searcy, AR",2
"Seattle-Tacoma-Bellevue, WA",4
"Sebastian-Vero Beach, FL",4
"Sebring, FL",2
"Sedalia, MO",2
"Selinsgrove, PA",10
"Selma, AL",7
"Seneca, SC",2
"Seneca Falls, NY",2
"Sevierville, TN",4
"Seymour, IN",5
"Shawano, WI",3
"Shawnee, OK",2
"Sheboygan, WI",5
"Shelby, NC",2
"Shelbyville, TN",2
"Shelton, WA",4
"Sherman-Denison, TX",2
"Show Low, AZ",1
"Shreveport-Bossier City, LA",2
"Sidney, OH",5
"Sierra Vista-Douglas, AZ",1
"Sikeston, MO",2
"Silver City, NM",1
"Sioux City, IA-NE-SD",3
"Sioux Falls, SD",3
"Snyder, TX",1
"Somerset, KY",2
"Somerset, PA",3
"Sonora, CA",4
"South Bend-Mishawaka, IN-MI",5
"Spartanburg, SC",4
"Spearfish, SD",1
"Spirit Lake, IA",10
"Spokane-Spokane Valley, WA",4
"Springfield, IL",3
"Springfield, MA",4
"Springfield, MO",2
"Springfield, OH",5
"Starkville, MS",8
"State College, PA",8
"Statesboro, GA",8
"Staunton-Waynesboro, VA",4
"Steamboat Springs, CO",8
"Stephenville, TX",8
"Sterling, CO",4
"Sterling, IL",3
"Stevens Point, WI",4
"Stillwater, OK",8
"Stockton-Lodi, CA",11
"Storm Lake, IA",3
"Sturgis, MI",5
"Sulphur Springs, TX",3
"Summerville, GA",2
"Summit Park, UT",4
"Sumter, SC",2
"Sunbury, PA",3
"Susanville, CA",2
"Syracuse, NY",4
"Tahlequah, OK",2
"Talladega-Sylacauga, AL",2
"Tallahassee, FL",8
"Tampa-St. Petersburg-Clearwater, FL",4
"Taos, NM",1
"Terre Haute, IN",2
"Texarkana, TX-AR",2
"The Dalles, OR",4
"The Villages, FL",3
"Thomaston, GA",2
"Thomasville, GA",4
"Tiffin, OH",5
"Tifton, GA",2
"Toccoa, GA",2
"Toledo, OH",5
"Topeka, KS",3
"Torrington, CT",10
"Traverse City, MI",4
"Trenton, NJ",4
"Troy, AL",2
"Truckee-Grass Valley, CA",4
"Tucson, AZ",1
"Tullahoma-Manchester, TN",2
"Tulsa, OK",2
"Tupelo, MS",3
"Tuscaloosa, AL",2
"Twin Falls, ID",10
"Tyler, TX",2
"Ukiah, CA",4
"Union City, TN-KY",2
"Urbana, OH",5
"Utica-Rome, NY",4
"Uvalde, TX",2
"Valdosta, GA",2
"Vallejo-Fairfield, CA",4
"Valley, AL",2
"Van Wert, OH",5
"Vermillion, SD",8
"Vicksburg, MS",9
"Victoria, TX",3
"Vidalia, GA",2
"Vincennes, IN",3
"Vineland-Bridgeton, NJ",2
"Virginia Beach-Norfolk-Newport News, VA-NC",4
"Visalia-Porterville, CA",11
"Wabash, IN",3
"Waco, TX",2
"Wahpeton, ND-MN",3
"Walla Walla, WA",4
"Wapakoneta, OH",10
"Warner Robins, GA",4
"Warren, PA",10
"Warrensburg, MO",8
"Warsaw, IN",3
"Washington, IN",10
"Washington, NC",2
"Washington-Arlington-Alexandria, DC-VA-MD-WV",6
"Washington Court House, OH",5
"Waterloo-Cedar Falls, IA",4
"Watertown, SD",3
"Watertown-Fort Atkinson, WI",3
"Watertown-Fort Drum, NY",10
"Wauchula, FL",2
"Wausau, WI",3
"Waycross, GA",2
"Weatherford, OK",3
"Weirton-Steubenville, WV-OH",10
"Wenatchee, WA",4
"West Plains, MO",2
"Wheeling, WV-OH",5
"Whitewater-Elkhorn, WI",4
"Wichita, KS",3
"Wichita Falls, TX",2
"Williamsport, PA",10
"Williston, ND",1
"Willmar, MN",3
"Wilmington, NC",4
"Wilmington, OH",5
"Wilson, NC",2
"Winchester, VA-WV",10
"Winnemucca, NV",1
"Winona, MN",3
"Winston-Salem, NC",4
"Wisconsin Rapids-Marshfield, WI",3
"Woodward, OK",1
"Wooster, OH",10
"Worcester, MA-CT",4
"Yakima, WA",4
"Yankton, SD",3
"York-Hanover, PA",3
"Youngstown-Warren-Boardman, OH-PA",5
"Yuba City, CA",11
"Yuma, AZ",1
"Zanesville, OH",9
