"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"Albemarle, NC",0.00465995321251442,0.917214043648903,0.0129363857894424,0.0114566732856288,0.00136004845396992,0.000546893307559392,0.0413399366336952,0.00430373344139148,0.00227449585164204,0.00390483444451434,3.00193073892263e-06
"Albert Lea, MN",0.000394619456385314,0.000224212619120622,0.0126047942802882,7.02218176541265e-06,0.00169494259072682,2.43810601315992e-10,0.00155923440773289,0.983497348854687,7.57176592385885e-06,6.2813013145482e-06,3.97229824456815e-06
"Albertville, AL",0.000919713330734827,0.290965648122514,0.00189555327635987,0.53377771631764,0.00235801120832708,0.000374200633779307,0.117328852156561,0.0384234765291877,0.0135262142128465,0.000291498904064526,0.000139115307986054
"Albuquerque, NM",0.746157130456032,9.12392825063165e-10,0.0816707250109668,7.52357615232633e-10,1.62979761758912e-15,1.14175879239621e-11,0.000108833879041378,3.39932730323611e-06,5.32411796188949e-08,0.172059604284897,2.5212441055307e-07
"Alexandria, LA",0.00194350398079224,0.0494379063873594,0.0136535734245745,0.3261959153432,0.000786043362399374,2.63598162166902e-08,0.0101430828365826,0.0300610202934097,0.56691765723887,0.000779652223109178,8.1618549887372e-05
"Alexandria, MN",0.0188800187468464,0.00458710663673785,0.0535799854823591,1.3381563343072e-05,7.07271385459845e-06,0.803203865233399,0.00903375181338448,0.110434723813221,3.79518374106347e-07,1.29193367020071e-06,0.000258422544810735
"Alice, TX",0.0169132406156931,0.326937905486576,0.171242073021687,0.021497162318128,0.0030773985111002,4.67819022744868e-09,0.00749311958119529,0.024198918154389,0.409677780080131,0.0189598863386139,2.51121429571046e-06
"Allentown-Bethlehem-Easton, PA-NJ",0.00121123206266538,0.00503893691739897,0.00659451297533304,0.000226660456895738,0.000833487697760148,7.41331817684315e-05,0.898259741630979,0.00729424723990867,3.43857912783038e-06,0.0804470676598008,1.65415983616817e-05
"Alma, MI",6.01737850544668e-09,6.73153715792192e-06,0.00517799864037732,4.82021539021095e-07,0.994745547490967,5.22417160724862e-14,4.75057837402294e-06,2.55951938013991e-05,2.63841059649825e-05,2.69024398052191e-06,9.81417040756314e-06
"Alpena, MI",1.64287745186479e-06,0.00433461345154219,0.00265180973321859,8.92843987057653e-05,0.987750765372525,6.35941460511766e-09,0.00311639349988649,0.00183135557050129,4.29302013207471e-05,0.000177226903374413,3.971632059339e-06
"Altoona, PA",0.00285598377396362,0.8253701835696,0.00545567034651927,0.0124560389734429,0.00643602124757536,0.000401933259758235,0.105815988366462,0.0391938189300334,0.00064791515084008,0.00136304222196196,3.40415984350496e-06
"Altus, OK",0.380355421751899,0.0177810132412208,0.0204327378392376,0.0396897377112048,3.24163692384111e-07,0.0228257082442838,0.172842342207335,0.344031805934437,0.000985268066978133,0.00018146985484861,0.000874170984862458
"Amarillo, TX",0.980473113730624,2.09262802860895e-08,0.0184955594725061,5.14096763369373e-08,1.0241693346428e-14,2.21085274964489e-10,2.21915952684454e-05,0.000982082646158789,1.09301716367092e-06,2.49173425964893e-05,9.69638630553677e-07
"Americus, GA",0.000334689563246399,2.60136804923497e-05,0.119027656578478,0.0493158959832244,1.12439092713921e-06,3.74332321807525e-08,0.000758131377262001,0.000219596444861541,0.457431910519986,0.000138320340820993,0.372746623687469
"Ames, IA",1.84412041539471e-09,5.19469614799261e-18,0.00769752146192867,9.28143702183224e-15,5.19342927107267e-14,2.23096739120195e-15,7.17909230060083e-10,6.17895062182917e-09,1.4943314736609e-12,6.13486663610343e-11,0.992302469734185
"Amsterdam, NY",0.000626203960499457,0.186706938824779,0.00371176530405344,0.356645174841131,0.0130870966515882,0.0012913107267499,0.144746829665503,0.286805624738873,0.00498337162332314,3.3970010479272e-05,0.00136171365302051
"Andrews, TX",0.138756343916489,6.7226011160681e-08,0.861207713057123,3.17017826552009e-13,1.15000287322599e-12,1.60481650728772e-18,1.30621910197473e-10,3.46815145837909e-05,8.21440123455154e-07,3.72712661384776e-07,9.18780610989067e-13
"Ann Arbor, MI",1.56523211272087e-09,3.16177705472275e-13,0.075873900019988,3.02788192808661e-11,1.78720872587055e-05,3.69074787135965e-15,1.38340057003304e-05,1.05756437698408e-06,5.3752296021943e-10,1.61064106348297e-05,0.924077227778687
"Anniston-Oxford-Jacksonville, AL",0.000826461659544198,0.146057798945285,0.00413923617199539,0.680505600112547,0.000623201084811955,2.17271044933901e-05,0.0260338393352381,0.00475509162648408,0.136214409485341,0.000668640682692397,0.000153993791567486
"Appleton, WI",0.00163933377839813,0.00159527453607919,0.0120774010359246,1.94462128800949e-05,0.00233003947130136,2.21295471132904e-05,0.191751010852098,0.790298610915424,3.09960644760039e-07,0.000232577336341739,3.38663537950378e-05
"Arcadia, FL",0.00349798825786346,0.113444732791665,0.0154514507846486,0.160369097781141,2.70473567047032e-05,4.36961357700182e-06,0.000255620792062067,0.00889150811971825,0.697987549907078,2.46336633416383e-06,6.8171229207759e-05
"Ardmore, OK",0.0375535792485597,0.15182263854691,0.00975719068946417,0.411884563003295,5.79383374960656e-05,2.29660993870301e-05,0.0947476971807,0.23774267532517,0.0555249550514121,0.000805245265551128,8.05512520548715e-05
"Arkadelphia, AR",0.0222788236997351,0.0276141645202578,0.122461060115504,0.493678441771956,1.04703918771643e-05,0.019522413330029,0.0119675786033348,0.0642333511151765,0.120061153076411,6.83631200466275e-06,0.118165707063715
"Arkansas City-Winfield, KS",0.0134472281858069,0.184820012030699,0.00913604131177198,0.101604308402997,0.000159317510772909,0.0665306426046708,0.0753620642260656,0.546364697211404,0.00155187370963398,7.92477958428742e-06,0.00101589002659305
"Asheville, NC",0.00109157649853983,0.00765145107716737,0.00145147445682691,0.00762367931897771,0.000153836684334645,0.00440694035762179,0.955548232643667,0.0192065229157044,1.99983030251375e-05,0.00259998402051807,0.000246303723617334
"Ashland, OH",7.61330055655275e-05,0.0455997014784061,0.392117150146591,2.27702471910694e-05,0.539451916846668,0.0104428435957788,0.00281157399743418,0.0084058774974763,9.49560959742175e-06,5.21426173794925e-06,0.00105732331355355
"Ashtabula, OH",2.52773911986823e-06,0.0511072147727971,0.004988074085034,0.0007177075657629,0.94034176541309,6.1293687954847e-07,0.000422855836433326,0.00169757295404009,0.000703612069761158,3.4221220382878e-06,1.46345050440497e-05
"Astoria, OR",0.00450605622728242,0.000512078049248939,0.0113441699411936,5.57638332104424e-06,3.98013988341685e-08,0.982093832487755,0.00109261871384977,0.000357783352634978,3.03840918732574e-07,2.18790915573887e-06,8.53532932411891e-05
"Atchison, KS",0.00477513282776957,6.05001290341426e-08,0.918581400914423,6.0047383874007e-07,1.0469338581382e-09,1.28102834324836e-11,1.0290591004703e-07,0.0670906364121993,0.000527473812974271,1.65772349261847e-10,0.00902459092723932
"Athens, OH",2.575950076277e-09,5.98191843352417e-13,0.267017890494898,2.03352275206339e-11,1.09494618717872e-09,1.45201656929545e-12,4.41748418695324e-10,4.5434492134292e-10,9.57037925442107e-08,1.00123853518973e-09,0.732982008210696
"Athens, TN",0.00289089207185483,0.871701427221967,0.0530106646571502,0.0021231279806946,0.000535214388248111,1.2248377414579e-06,5.93011289105127e-05,0.00178682658850461,0.0678795511761994,1.13991321158447e-05,3.70816612941435e-07
"Athens, TX",0.0314875261670262,0.201377546984329,0.0268540672468064,0.332928602583425,2.14671521327834e-05,0.000270276457733796,0.00307454896423545,0.201415386213332,0.202143889808493,2.9720325867666e-06,0.00042371638989953
"Athens-Clarke County, GA",9.0710659331478e-05,2.77785839681685e-06,0.0195018617187394,0.00797671184210268,2.23271942378279e-06,4.25928923816922e-07,0.0202000100318221,0.000707877691198203,0.00156770366282275,0.000466513599566355,0.949483174287673
"Atlanta-Sandy Springs-Roswell, GA",0.0002569965240553,2.10464053715905e-05,0.00400883745101161,0.000422228780762708,1.54912079677539e-05,4.54841855228246e-07,0.752315847397873,0.000899530514370928,9.46479213908616e-06,0.241108022908712,0.000942079175880527
"Atlantic City-Hammonton, NJ",0.00012986089523748,0.00690121855687578,0.0142008527813664,0.0356395166092355,0.0138730616838175,1.44886562319259e-05,0.805441081364614,0.00179085392947108,0.00163462514892831,0.117576430655905,0.0027980097183176
"Auburn, IN",2.0029422714537e-05,0.00343229749805705,0.704204023025781,2.95295829405174e-07,0.288627434076399,0.00089764490640504,0.000304888861874259,0.00203503611427431,4.65628745831245e-07,1.18167565536484e-06,0.000476703494264581
"Auburn, NY",0.00030288018830909,0.115599025028074,0.00496081283282141,0.0121034576991971,0.158646613260311,0.000290313140150256,0.29521351903419,0.412405360877325,0.000132577973134575,0.000152494966960106,0.000192944999526204
"Auburn-Opelika, AL",0.000172618503722775,3.00941667722231e-05,0.0231880118601622,0.032537839306521,1.6529439996156e-05,8.62446704464899e-06,0.089385822122542,0.00159101877380546,0.00260482251732823,0.00135673786245121,0.849107880979654
"Augusta-Richmond County, GA-SC",0.00238460703537127,0.0893479837173157,0.00240468139628761,0.464252540904929,0.000310442923894072,0.000631345415373233,0.406876732190086,0.0237772031524975,0.00715081247903548,0.00254821281312429,0.000315437972085893
"Augusta-Waterville, ME",0.00235413348518216,0.127897092592773,0.0030081675140277,0.150395095175177,0.000951093541993606,0.0480637045644907,0.529511741530817,0.136041514571176,0.000580354295521192,0.000171425187083851,0.00102567754175839
"Austin, MN",0.00120633254957559,0.0358552653880041,0.00414394582389952,0.0128641307744346,0.00373832421796914,0.00630744775946272,0.328502127885405,0.606451147506549,5.60256459026633e-05,3.93057224008443e-05,0.000835946726396132
"Austin-Round Rock, TX",0.000629334271113459,9.97490504456033e-06,0.00482625591806147,0.00065836645545013,2.82829334436757e-06,4.85720376054257e-05,0.954776192509195,0.00720165584627111,3.29210261567009e-06,0.00771597089539504,0.0241275567659039
"Bainbridge, GA",0.00147331427831473,0.00348435671084073,0.00985568607757376,0.118750432651563,4.44932496461417e-06,7.9778143074522e-09,0.000680751659869943,0.00136364280064309,0.864113620184304,0.000169976140763907,0.000103762193347912
"Bakersfield, CA",0.000505439115346132,1.16703609124103e-08,0.0131732841919147,3.83247304961112e-09,4.22601739644855e-11,1.20089774239777e-14,2.65674588529001e-05,4.76907266258828e-08,1.29276321060313e-06,0.986293335647482,1.75873605833279e-08
"Baltimore-Columbia-Towson, MD",0.00030100538541237,9.54316185108898e-06,0.00599580135769424,2.12504941526548e-05,2.80790470518381e-05,7.16846825190332e-09,0.432289128627511,0.00150740924637883,1.39047110372289e-06,0.559784458396964,6.19266434122289e-05
"Bangor, ME",0.00522700922931452,0.0366558260708333,0.00558241394913847,0.0224073138977528,1.46647451716119e-05,0.83754918219015,0.0749708002039587,0.0160168426061416,0.000188912264029864,3.21513964290048e-05,0.0013548834470803
"Baraboo, WI",0.00105371052973621,0.00380706211362629,0.0030301077606844,0.000807053007094253,0.000676479523808618,6.09785691348371e-05,0.0604184478504625,0.929998309777733,1.02457687074362e-05,9.69370651436503e-06,0.000127911392497609
"Bardstown, KY",0.0151344885844843,0.676805865225134,0.0213209753097129,0.0103507564691429,0.000217908394172332,0.0322228834750499,0.00348285303274783,0.238913633440777,0.00149588538161255,7.44092530585269e-07,5.40065946347837e-05
"Barnstable Town, MA",4.53347669645508e-05,3.64537602222833e-05,0.00788658566555461,6.28300597752625e-05,0.00540755880483235,1.11827706113322e-06,0.948848736210952,0.0247670261552918,5.63730138590203e-07,0.00987579284236627,0.0030679997268407
"Barre, VT",0.000131724887870942,2.23366818713592e-21,0.99986581137833,5.45292584587555e-23,3.85081475736183e-22,1.66113505182576e-28,2.46575994665209e-17,2.45869485847601e-06,4.63262363701627e-14,5.2271972498989e-16,5.03889353847905e-09
"Bartlesville, OK",0.000896330070025417,0.0508741537466731,0.0038579378329045,0.204123958388271,0.00475983636680339,0.000212141872163937,0.162947038263593,0.567496507294407,0.00306520075567961,3.8036498761442e-05,0.0017288589107167
"Bastrop, LA",0.000583952935210702,0.0100550558644976,0.0138190163153242,0.07080879918371,6.97567377759793e-05,2.74148590068403e-09,0.000735239887082685,0.000622345254506142,0.902561121883673,0.000713759478604204,3.09497181299606e-05
"Batavia, NY",0.000116136704508962,0.0965682409128575,0.00823769660635884,0.0006149351414267,0.667824384753606,2.59739984184931e-05,0.0581967935188186,0.168265526021756,2.7659842029493e-05,0.000103586997550919,1.90655026695478e-05
"Batesville, AR",0.00287400696322878,0.184975983505201,0.00640131903478445,0.553222766627466,0.00027688928624045,4.7870288675036e-05,0.00572379102629579,0.097172974848339,0.149031536731514,6.54572434665247e-06,0.000266315963909955
"Baton Rouge, LA",0.0136782631600859,0.0048394789333756,0.027007394997542,0.151283896164079,0.000125580012809804,4.75627101668438e-08,0.110504267823395,0.635687605244219,0.0541130306770531,0.00172554390167069,0.00103489152306043
"Battle Creek, MI",3.01160521594219e-07,0.000858085598272231,0.00333448690321783,0.000392924165761309,0.993215416065463,7.1526358197129e-10,0.000889576966956013,0.000683098625060191,0.000494470998977459,4.13351907550544e-05,9.03036097518747e-05
"Bay City, MI",1.26982398394902e-05,0.0811400528823418,0.00286308439356915,0.00310098590079071,0.881458324442818,6.34709493688545e-06,0.015259050531162,0.0158304306611437,0.000249948150310484,4.95726031944746e-05,2.95050998936078e-05
"Bay City, TX",0.298733914745211,0.0102147551585524,0.12334556998979,0.012103774898436,2.9361370107844e-07,1.10136612395661e-07,0.00026280994325482,0.355763712980051,0.199523993797973,3.09408794091283e-06,4.79706484776481e-05
"Beatrice, NE",0.0568771968347863,0.00783917178704769,0.0160642205305275,3.81208470417036e-05,2.602729310334e-06,4.46304695284801e-05,0.00115820527902546,0.917960784048434,1.24306710678407e-05,5.98645505926601e-07,2.03815772450423e-06
"Beaumont-Port Arthur, TX",0.000455629207779715,0.0202337439232586,0.00360229889359581,0.809618927089246,0.000849776265582207,2.78948789323645e-06,0.0529479277078887,0.0244416973455824,0.0860983633789028,0.000364273171277408,0.00138457352899268
"Beaver Dam, WI",0.00136463930524578,0.0102535007280394,0.00546922240631756,0.000140139916669595,0.00317737607274681,5.80422668722222e-06,0.0326722201058978,0.946878597623649,6.12185254718744e-06,2.51881479825943e-05,7.18961421675374e-06
"Beckley, WV",0.0016465566824917,0.965428298732002,0.0104637370114929,0.0041455196576752,0.000616659971626097,5.69792382177448e-05,0.000183969531566329,0.00748920447352964,0.00996669408026037,1.46575797903117e-06,9.1486315879094e-07
"Bedford, IN",0.000385254674344209,0.716366404526449,0.0198248217424458,0.000367729513597986,0.202725280706648,2.96715409101121e-06,0.00162318402775324,0.0582664329956526,0.000421385618857209,1.59625170419341e-05,5.7652311953979e-07
"Beeville, TX",0.0192762479917889,0.016233289135856,0.00761313305475433,0.255411946440735,3.85005337623807e-05,1.5549688257308e-05,0.248836169891216,0.439243467303862,0.0118457685603853,0.000797420926340168,0.000688506473042872
"Bellefontaine, OH",9.88613689955215e-07,0.00436499654168411,0.0118625078273118,2.40153262023561e-06,0.979616602806046,3.01484879944305e-08,1.60594915172116e-05,0.00412127448589239,1.16899639635598e-05,4.00777133359304e-08,3.40851107319896e-06
"Bellingham, WA",0.00253454787320618,0.000399926111784436,0.0277784897899331,0.00191826132479611,6.17106225240376e-06,0.365392709573741,0.500024309707412,0.00459031213560034,9.98426578742229e-06,0.000918627695185724,0.0964266604603015
"Bemidji, MN",0.000261320615070195,0.0432925935161517,0.00487514522136919,0.34760735042994,0.016685202143539,0.00164862426216259,0.473616352730706,0.0975546433571002,0.00273602508748033,0.000221934384695109,0.0115008082517854
"Bend-Redmond, OR",0.00470872849392431,0.000132631671279937,0.0330941821129451,0.000195670405615546,1.05372377006458e-06,0.500019341269371,0.421319816783676,0.00295965146166008,1.00370560997599e-06,0.00129593325592087,0.0362719871162272
"Bennettsville, SC",0.00939430574004641,2.35870065632513e-05,0.682494867029712,6.3364647721467e-07,8.43114422699802e-11,2.05355056626124e-13,3.81744877993439e-10,4.55639141198052e-06,0.308081959917259,1.73088743781398e-08,7.24933943131222e-08
"Bennington, VT",0.000429503214932412,0.00555883659136062,0.00244625929131906,0.00510635374049405,0.00056931257665802,0.0182856401304527,0.949900743008607,0.0150566606389911,1.07832229544631e-05,0.00133017537928423,0.00130573220494591
"Berlin, NH-VT",0.00609628310669761,0.570003636123208,0.00309368620141878,0.0601543590836694,0.000957384368898647,0.00953057413602537,0.167080372432732,0.182165271788308,0.000750003604165421,0.000135540579456355,3.28885754199626e-05
"Big Rapids, MI",0.000284984711204294,0.179352037848747,0.142834748127305,0.185876033273835,0.151298239737657,0.0273603195819315,0.200049083732294,0.00828815395626677,0.0133529455485382,0.000920646190601049,0.0903828072916208
"Big Spring, TX",0.981214903827499,3.01751116019739e-09,0.0187793564134715,2.11368919561605e-11,2.02945978184771e-17,7.86778943957084e-13,1.20368456026026e-08,4.48986890083345e-06,7.09066839825881e-08,1.16369584572303e-06,2.11317671353548e-10
"Big Stone Gap, VA",0.000291547870837632,0.506036618736555,0.0160933970748907,0.0930205781423726,0.0246372805102346,2.30820060255911e-07,0.00150330538199824,0.00573331762090485,0.352559855130679,0.000110074430347484,1.37942811200348e-05
"Billings, MT",0.83540118686844,0.000109393090399504,0.0283214103023138,5.61544004826675e-05,5.67152417510952e-10,0.00212213986511598,0.00995163573267212,0.123833168972742,4.53345164992988e-06,1.54100856686709e-05,0.000184966663363181
"Binghamton, NY",0.00028943839009962,0.0627533393782661,0.00273788443155469,0.0815594226859462,0.0126610838689217,0.00585926373843673,0.78985808607297,0.0417728898161415,0.000334071508089565,0.000782956911722892,0.00139156319785047
"Birmingham-Hoover, AL",0.00598534128637287,0.0143576397115313,0.00980292914299191,0.294041412261831,0.000210582796228763,1.42547703770526e-06,0.565799526134542,0.0511877090422134,0.024692895264414,0.033417112104061,0.000503426778776001
"Bismarck, ND",0.390240962217199,0.00116498030928561,0.0483939654328837,9.32803283715603e-06,2.10807832722585e-07,0.0156747667279315,0.0734513707191895,0.470937411339979,2.31131561108139e-07,9.07058092864924e-05,3.60674720135505e-05
"Blacksburg-Christiansburg-Radford, VA",0.00239753602848956,0.00477154155296114,0.0431567204979197,0.108658876589123,0.000155574199454532,0.0638717163600199,0.179821792222612,0.0969891400016976,0.00161730938971814,3.16984854669889e-05,0.498528094672538
"Bloomington, IL",0.000159676956030332,0.000256127655257172,0.0253342536867948,0.00542784855348303,0.00722835441309359,9.10845336992385e-06,0.192659646121438,0.59708394471819,0.000118217346289473,4.34971768989128e-05,0.171679324919155
"Bloomington, IN",3.09344050615719e-09,9.52646905967949e-13,0.00690209935472292,1.44517772574194e-09,1.1202109124544e-08,7.52794316266218e-13,2.10710479230342e-07,9.26831306001013e-08,3.49723992857298e-08,1.84231746862057e-08,0.99309752811366
"Bloomsburg-Berwick, PA",0.00530653558904161,0.450520743477685,0.00301149708762764,0.0733286529762876,0.00119552024428334,0.00631991754264656,0.176682376153842,0.282642253509176,0.000843514367040569,9.70012861176939e-05,5.19877662522544e-05
"Bluefield, WV-VA",0.000414610162153802,0.96172039772669,0.00440513770400281,0.0176350966001169,0.00332980488073011,0.000252001211312863,0.00175747968189148,0.00306647323718558,0.00739781904889379,1.743541752213e-05,3.74432949994631e-06
"Blytheville, AR",1.62285976617055e-05,5.5396992695883e-06,0.030918942697785,0.000245822487048402,7.89872193309153e-07,1.44822280912463e-14,1.06479103761283e-07,4.26266896926183e-05,0.96870173833668,1.70723766934349e-07,6.80344167846534e-05
"Bogalusa, LA",0.00035925610429998,0.00281397294589919,0.0183215693010402,0.00299062762335756,1.29808251840673e-06,6.21959623439213e-10,1.5369193307501e-06,6.77011405521308e-05,0.975438759646777,1.12857616550948e-06,4.14903809934232e-06
"Boise City, ID",0.00319817070907885,0.0126553862319418,0.00402416391759592,0.019408280811065,4.14616220128877e-05,0.214632402433056,0.724809288833613,0.0182325981592388,5.30561228464178e-05,0.000762222461959497,0.00218296869759211
"Boone, IA",0.000714179567621682,0.0124223144133953,0.00368856069390852,0.000957505127123725,0.00622258446685125,3.33396446396869e-05,0.0874244611496377,0.88843829035315,1.52877135890919e-05,2.90731434689032e-05,5.44037266137004e-05
"Boone, NC",3.65358927043044e-08,1.51100001051325e-14,0.0145442097978905,5.52649363208562e-11,1.10346108187002e-12,4.69770857126138e-12,2.09780622905194e-07,8.11061852342298e-10,2.18896087418828e-09,1.08405811315289e-06,0.985454456766377
"Borger, TX",0.961351852728032,0.000524532361460415,0.0363734095378879,1.29531709909319e-06,1.86495083345378e-10,3.65344629248877e-08,3.77500609452061e-05,0.00157567727743787,4.90388351226929e-05,8.64005395287242e-05,6.62152774548292e-09
"Boston-Cambridge-Newton, MA-NH",1.38152088254911e-05,1.52066566785891e-07,0.0263048443922374,4.01053196946186e-07,0.000195736239246287,2.5131932233222e-09,0.340680127831323,0.000254354785235778,3.15849015600759e-08,0.629970695795104,0.00257983853016935
"Boulder, CO",4.72945363444578e-05,5.8583480807935e-11,0.0358531439831934,1.96662638383974e-08,9.93981096473354e-10,6.91035539286458e-08,0.0126874118797328,4.45825201246901e-05,1.52622081384546e-09,0.0013554164725728,0.950012059259429
"Bowling Green, KY",0.00357586108863089,0.0302121981799066,0.028941580909062,0.506153667361568,0.000311218112389165,0.00892931057998872,0.0575297151474576,0.261574435137339,0.0200486848287071,8.1106655848422e-06,0.0827152179893662
"Bozeman, MT",0.0166355782251171,5.05475396996573e-07,0.0995087628873507,3.26651022846306e-05,8.90154082567603e-09,0.000365243927273398,0.0441406951834847,0.0750148574628543,1.03798134436135e-06,2.24796708399721e-05,0.764278165182513
"Brainerd, MN",0.0111798627121799,0.0771649711840007,0.00396332295049663,0.0126805525627883,0.000184569936291654,0.00478361303532747,0.154230634702754,0.735572631020511,0.000121153486202506,3.9917868999204e-05,7.87705404495404e-05
"Branson, MO",0.00237046233973934,0.625172232027237,0.00603391742929474,0.232434846637748,0.000988588405721758,0.0148627394746422,0.0154005396450963,0.0908027830459997,0.0115913244209128,4.25849693638193e-06,0.000338308076671987
"Bremerton-Silverdale, WA",0.00465896034852172,0.0038920861956624,0.00662913359518287,0.00388462137137082,3.00520021229092e-05,0.241262991576287,0.651893755833802,0.0829014762932741,8.31354297078938e-06,0.00017795649213347,0.00466065274867146
"Brevard, NC",0.141916662936479,0.00198437522876772,0.115628266087049,0.000114107450893967,4.31990331891142e-08,0.678781228105349,0.00154801218641178,0.0582208905254273,1.65770973094174e-05,2.91785485549697e-07,0.00178954539779347
"Bridgeport-Stamford-Norwalk, CT",1.79268503766384e-06,4.74798085565259e-10,0.02416661022512,9.2641299562059e-09,2.50246924675287e-06,3.34985382899687e-12,0.0226764202332048,4.18444660408475e-06,6.30039525260292e-09,0.949929149692135,0.00321932420597874
"Brookhaven, MS",0.0184496149187474,0.309453412203673,0.0541760222083924,0.121356856112962,4.44811549955761e-05,7.14946493533125e-05,0.000381297671822946,0.0927451242106961,0.403151259945387,6.49283143301205e-07,0.000169787640826169
"Brookings, SD",0.000144256515325879,4.57066629846331e-07,0.0540931782357245,9.27131661711287e-06,4.54512784812304e-06,1.22655160322139e-05,0.0046039357334209,0.0720711032846073,5.91371647800062e-07,4.53055582481935e-07,0.869059942776564
"Brownsville-Harlingen, TX",0.00102228064083604,0.332102872610284,0.0828690484675423,0.135398525496896,0.00860173119559245,3.03687996666164e-06,0.0159945417145351,0.000786428911267246,0.405648572756661,0.0174533834837004,0.000119577842718852
"Brownwood, TX",0.666496431981839,0.00662134638563249,0.187564691937168,0.000273733648889255,1.31251983378636e-08,2.90476258420632e-06,1.60384140553778e-05,0.129486964181099,0.00953026003060384,8.28557974000023e-08,7.5326771328577e-06
"Brunswick, GA",0.000358831880158074,0.00974218786039093,0.004436691035872,0.678659113194204,0.000911561699230279,0.000135038304310784,0.252692980031667,0.022000154409313,0.0141300593941891,0.000613446438305475,0.0163199357523597
"Bucyrus, OH",8.82389805751804e-09,6.32394991919563e-05,0.00481341180160126,1.44891608708405e-07,0.995089480233289,3.73003804046038e-11,1.21241193570888e-06,2.52133662412986e-05,4.20767190706437e-06,6.86598232778298e-08,3.01260320362245e-06
"Buffalo-Cheektowaga-Niagara Falls, NY",2.79055870987582e-05,0.00221597461604487,0.0108735908497988,0.00192634167333416,0.238094140828376,7.8681028832025e-07,0.698934669769453,0.00894019362533525,6.65613210993978e-05,0.0380165476326824,0.000903287286489242
"Burlington, IA-IL",0.000619622737354197,0.00640374330257575,0.00714492267739562,0.0243151866866913,0.00332455257824477,1.46926456128634e-07,0.0175786451894942,0.935997178952794,0.00412658822757388,1.34765312427542e-05,0.000475936190177715
"Burlington, NC",0.00252445180838723,0.209540671605056,0.00231878159107485,0.40033670720906,0.000464008932155489,0.00804240763468051,0.339507209496805,0.0324009642654003,0.00386163841860697,0.000694246141992349,0.00030891289678157
"Burlington-South Burlington, VT",0.000608239200081123,4.42291678542471e-05,0.0333493321021921,0.000197495699705244,8.08877879614285e-05,0.0103781187948611,0.644144390581757,0.0522178078126811,7.19493667936108e-07,0.000242077443557248,0.258736701915681
"Butte-Silver Bow, MT",0.0114355626886824,0.0123830735032309,0.015423999724139,0.0105764384108407,1.63809785886977e-06,0.851685546982382,0.0938638837396133,0.00180201345994342,0.000196854617982806,0.000503194445334705,0.00212779432999163
"Cadillac, MI",0.000183188358180172,0.912759503285693,0.00355271533090135,0.0141647980119481,0.0409602826154222,0.000108792454911855,0.00312486323283254,0.0222441329808363,0.00288945782742839,6.13319441128335e-06,6.13270743473734e-06
