"","x"
"Burlington-South Burlington, VT",2
"Butte-Silver Bow, MT",2
"Cadillac, MI",5
"Calhoun, GA",5
"California-Lexington Park, MD",5
"Cambridge, MD",2
"Cambridge, OH",4
"Camden, AR",3
"Campbellsville, KY",2
"Ca̱on City, CO",5
"Canton, IL",5
"Canton-Massillon, OH",4
"Cape Coral-Fort Myers, FL",2
"Cape Girardeau, MO-IL",2
"Carbondale-Marion, IL",3
"Carlsbad-Artesia, NM",1
"Carson City, NV",2
"Casper, WY",2
"Cedar City, UT",2
"Cedar Rapids, IA",5
"Cedartown, GA",3
"Celina, OH",4
"Centralia, IL",5
"Centralia, WA",2
"Chambersburg-Waynesboro, PA",5
"Champaign-Urbana, IL",8
"Charleston, WV",3
"Charleston-Mattoon, IL",8
"Charleston-North Charleston, SC",2
"Charlotte-Concord-Gastonia, NC-SC",7
"Charlottesville, VA",2
"Chattanooga, TN-GA",7
"Cheyenne, WY",2
"Chicago-Naperville-Elgin, IL-IN-WI",7
"Chico, CA",2
"Chillicothe, OH",4
"Cincinnati, OH-KY-IN",7
"Claremont-Lebanon, NH-VT",5
"Clarksburg, WV",5
"Clarksdale, MS",6
"Clarksville, TN-KY",2
"Clearlake, CA",2
"Cleveland, MS",6
"Cleveland, TN",2
"Cleveland-Elyria, OH",7
"Clewiston, FL",2
"Clinton, IA",5
"Clovis, NM",1
"Coeur d'Alene, ID",2
"Coffeyville, KS",3
"Coldwater, MI",4
"College Station-Bryan, TX",8
"Colorado Springs, CO",2
"Columbia, MO",8
"Columbia, SC",2
"Columbus, GA-AL",2
"Columbus, IN",5
"Columbus, MS",3
"Columbus, NE",2
"Columbus, OH",4
"Concord, NH",5
"Connersville, IN",4
"Cookeville, TN",3
"Coos Bay, OR",2
"Cordele, GA",6
"Corinth, MS",5
"Cornelia, GA",5
"Corning, NY",5
"Corpus Christi, TX",2
"Corsicana, TX",3
"Cortland, NY",5
"Corvallis, OR",8
"Coshocton, OH",4
"Craig, CO",2
"Crescent City, CA",2
"Crestview-Fort Walton Beach-Destin, FL",2
"Crossville, TN",5
"Cullman, AL",5
"Cullowhee, NC",2
"Cumberland, MD-WV",5
"Dallas-Fort Worth-Arlington, TX",7
"Dalton, GA",5
"Danville, IL",5
"Danville, KY",5
"Danville, VA",3
"Daphne-Fairhope-Foley, AL",2
"Davenport-Moline-Rock Island, IA-IL",5
"Dayton, OH",4
"Dayton, TN",3
"Decatur, AL",5
"Decatur, IL",3
"Decatur, IN",4
"Defiance, OH",4
"Del Rio, TX",1
"Deltona-Daytona Beach-Ormond Beach, FL",2
"Deming, NM",1
"Denver-Aurora-Lakewood, CO",7
"DeRidder, LA",5
"Des Moines-West Des Moines, IA",2
"Detroit-Warren-Dearborn, MI",7
"Dickinson, ND",1
"Dodge City, KS",1
"Dothan, AL",3
"Douglas, GA",3
"Dover, DE",2
"Dublin, GA",3
"DuBois, PA",5
"Dubuque, IA",5
"Duluth, MN-WI",2
"Duncan, OK",3
"Dunn, NC",2
"Durango, CO",1
"Durant, OK",2
"Durham-Chapel Hill, NC",2
"Dyersburg, TN",3
"Eagle Pass, TX",2
"Easton, MD",2
"East Stroudsburg, PA",2
"Eau Claire, WI",2
"Edwards, CO",7
"Effingham, IL",5
"El Campo, TX",3
"El Centro, CA",7
"El Dorado, AR",1
"Elizabeth City, NC",2
"Elizabethtown-Fort Knox, KY",5
"Elk City, OK",1
"Elkhart-Goshen, IN",5
"Elkins, WV",3
"Elko, NV",5
"Ellensburg, WA",8
"Elmira, NY",5
"El Paso, TX",1
"Emporia, KS",2
"Enid, OK",1
"Enterprise, AL",2
"Erie, PA",5
"Escanaba, MI",5
"Espa̱ola, NM",1
"Eugene, OR",2
"Eureka-Arcata-Fortuna, CA",8
"Evanston, WY",2
"Evansville, IN-KY",5
"Fairfield, IA",2
"Fairmont, WV",5
"Fallon, NV",2
"Fargo, ND-MN",2
"Faribault-Northfield, MN",2
"Farmington, MO",5
"Farmington, NM",1
"Fayetteville, NC",2
"Fayetteville-Springdale-Rogers, AR-MO",2
"Fergus Falls, MN",5
"Fernley, NV",2
"Findlay, OH",4
"Fitzgerald, GA",2
"Flagstaff, AZ",8
"Flint, MI",4
"Florence, SC",3
"Florence-Muscle Shoals, AL",3
"Fond du Lac, WI",5
"Forest City, NC",5
"Forrest City, AR",6
"Fort Collins, CO",2
"Fort Dodge, IA",1
"Fort Leonard Wood, MO",8
"Fort Madison-Keokuk, IA-IL-MO",5
"Fort Morgan, CO",5
"Fort Polk South, LA",5
"Fort Smith, AR-OK",3
"Fort Wayne, IN",4
"Frankfort, IN",4
"Frankfort, KY",5
"Fremont, NE",5
"Fremont, OH",4
"Fresno, CA",7
"Gadsden, AL",5
"Gaffney, SC",3
"Gainesville, FL",8
"Gainesville, GA",5
"Galesburg, IL",5
"Gallup, NM",6
"Garden City, KS",5
"Gardnerville Ranchos, NV",2
"Georgetown, SC",3
"Gettysburg, PA",5
"Gillette, WY",1
"Glasgow, KY",5
"Glens Falls, NY",5
"Glenwood Springs, CO",2
"Gloversville, NY",5
"Goldsboro, NC",3
"Grand Forks, ND-MN",2
"Grand Island, NE",5
"Grand Junction, CO",2
"Grand Rapids-Wyoming, MI",4
"Grants, NM",1
"Grants Pass, OR",2
"Great Bend, KS",2
"Great Falls, MT",2
"Greeley, CO",5
"Green Bay, WI",5
"Greeneville, TN",5
"Greenfield Town, MA",2
"Greensboro-High Point, NC",2
"Greenville, MS",6
"Greenville, NC",8
"Greenville, OH",5
"Greenville-Anderson-Mauldin, SC",2
"Greenwood, MS",6
"Greenwood, SC",3
"Gulfport-Biloxi-Pascagoula, MS",2
"Guymon, OK",1
"Hagerstown-Martinsburg, MD-WV",5
"Hailey, ID",2
"Hammond, LA",3
"Hanford-Corcoran, CA",7
"Hannibal, MO",5
"Harrisburg-Carlisle, PA",7
"Harrison, AR",5
"Harrisonburg, VA",2
"Hartford-West Hartford-East Hartford, CT",7
"Hastings, NE",1
"Hattiesburg, MS",2
"Hays, KS",8
"Heber, UT",2
"Helena, MT",2
"Helena-West Helena, AR",6
"Henderson, NC",3
"Hermiston-Pendleton, OR",5
"Hickory-Lenoir-Morganton, NC",5
"Hillsdale, MI",4
"Hilton Head Island-Bluffton-Beaufort, SC",2
"Hinesville, GA",2
"Hobbs, NM",1
"Holland, MI",4
"Homosassa Springs, FL",2
"Hood River, OR",2
"Hot Springs, AR",3
"Houghton, MI",2
"Houma-Thibodaux, LA",5
"Houston-The Woodlands-Sugar Land, TX",7
"Hudson, NY",5
"Huntingdon, PA",5
"Huntington, IN",5
"Huntington-Ashland, WV-KY-OH",5
"Huntsville, AL",2
"Huntsville, TX",2
"Huron, SD",2
"Hutchinson, KS",5
"Hutchinson, MN",5
"Idaho Falls, ID",2
"Indiana, PA",2
"Indianapolis-Carmel-Anderson, IN",7
"Indianola, MS",6
"Ionia, MI",4
"Iowa City, IA",8
"Iron Mountain, MI-WI",5
"Ithaca, NY",8
"Jackson, MI",4
"Jackson, MS",2
"Jackson, OH",4
"Jackson, TN",3
"Jackson, WY-ID",2
"Jacksonville, FL",2
"Jacksonville, IL",5
"Jacksonville, NC",2
"Jacksonville, TX",3
"Jamestown, ND",1
"Jamestown-Dunkirk-Fredonia, NY",3
"Janesville-Beloit, WI",5
"Jasper, IN",5
"Jefferson, GA",5
"Jefferson City, MO",5
"Jesup, GA",3
"Johnson City, TN",5
"Johnstown, PA",5
"Jonesboro, AR",2
"Joplin, MO",5
"Junction City, KS",8
"Kalamazoo-Portage, MI",4
"Kalispell, MT",2
"Kankakee, IL",5
"Kansas City, MO-KS",7
"Kearney, NE",2
"Keene, NH",2
"Kendallville, IN",4
"Kennett, MO",3
"Kennewick-Richland, WA",5
"Kerrville, TX",2
"Kill Devil Hills, NC",5
"Killeen-Temple, TX",2
"Kingsport-Bristol-Bristol, TN-VA",5
"Kingston, NY",2
"Kingsville, TX",2
"Kinston, NC",3
"Kirksville, MO",8
"Klamath Falls, OR",2
"Knoxville, TN",7
"Kokomo, IN",5
"Laconia, NH",5
"La Crosse-Onalaska, WI-MN",2
"Lafayette, LA",5
"Lafayette-West Lafayette, IN",8
"La Grande, OR",2
"LaGrange, GA",2
"Lake Charles, LA",1
"Lake City, FL",2
"Lake Havasu City-Kingman, AZ",2
"Lakeland-Winter Haven, FL",2
"Lancaster, PA",7
"Lansing-East Lansing, MI",4
"Laramie, WY",8
"Laredo, TX",7
"Las Vegas, NM",1
"Las Vegas-Henderson-Paradise, NV",1
"Laurel, MS",3
"Laurinburg, NC",6
"Lawrence, KS",8
"Lawrenceburg, TN",1
"Lawton, OK",2
"Lebanon, MO",5
"Lebanon, PA",5
"Levelland, TX",1
"Lewisburg, PA",5
"Lewisburg, TN",1
"Lewiston, ID-WA",2
"Lewiston-Auburn, ME",5
"Lexington, NE",5
"Lexington-Fayette, KY",2
"Liberal, KS",1
"Lima, OH",4
"Lincoln, IL",5
"Lincoln, NE",2
"Little Rock-North Little Rock-Conway, AR",7
"Lock Haven, PA",5
"Logan, UT-ID",2
"Logan, WV",3
"Logansport, IN",4
"London, KY",3
"Longview, TX",2
"Longview, WA",2
"Los Alamos, NM",1
"Los Angeles-Long Beach-Anaheim, CA",7
"Louisville/Jefferson County, KY-IN",5
"Lubbock, TX",1
"Ludington, MI",4
"Lufkin, TX",3
"Lumberton, NC",3
"Macomb, IL",2
"Macon-Bibb County, GA",2
"Madera, CA",7
"Madison, IN",5
"Madison, WI",2
"Madisonville, KY",5
"Magnolia, AR",3
"Malone, NY",5
"Malvern, AR",5
"Manchester-Nashua, NH",5
"Manhattan, KS",8
"Manitowoc, WI",5
"Mankato-North Mankato, MN",2
"Mansfield, OH",4
"Marietta, OH",4
"Marinette, WI-MI",5
"Marion, IN",4
"Marion, NC",5
"Marion, OH",4
"Marquette, MI",2
"Marshall, MN",5
"Marshall, MO",2
"Marshall, TX",3
"Marshalltown, IA",5
"Martin, TN",5
"Martinsville, VA",3
"Maryville, MO",8
"Mason City, IA",2
"Mayfield, KY",5
"Maysville, KY",5
"McAlester, OK",2
"McAllen-Edinburg-Mission, TX",3
"McComb, MS",6
"McMinnville, TN",3
"McPherson, KS",1
"Meadville, PA",5
"Medford, OR",2
"Memphis, TN-MS-AR",7
"Menomonie, WI",1
"Merced, CA",2
"Meridian, MS",3
"Merrill, WI",5
"Mexico, MO",5
"Miami, OK",2
"Miami-Fort Lauderdale-West Palm Beach, FL",7
"Michigan City-La Porte, IN",5
"Middlesborough, KY",6
"Midland, MI",5
"Midland, TX",1
"Milledgeville, GA",6
"Milwaukee-Waukesha-West Allis, WI",7
"Mineral Wells, TX",2
"Minneapolis-St. Paul-Bloomington, MN-WI",7
"Minot, ND",2
"Missoula, MT",7
"Mitchell, SD",1
"Moberly, MO",5
"Mobile, AL",3
"Modesto, CA",7
"Monroe, LA",6
"Monroe, MI",4
"Montgomery, AL",3
"Montrose, CO",2
"Morehead City, NC",5
"Morgan City, LA",3
"Morgantown, WV",2
"Morristown, TN",5
"Moscow, ID",8
"Moses Lake, WA",5
"Moultrie, GA",2
"Mountain Home, AR",5
"Mountain Home, ID",2
"Mount Airy, NC",5
"Mount Pleasant, MI",8
"Mount Pleasant, TX",5
"Mount Sterling, KY",3
"Mount Vernon, IL",5
"Mount Vernon, OH",4
"Mount Vernon-Anacortes, WA",2
"Muncie, IN",2
"Murray, KY",2
"Muscatine, IA",5
"Muskegon, MI",4
"Muskogee, OK",3
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2
"Nacogdoches, TX",8
"Napa, CA",7
"Naples-Immokalee-Marco Island, FL",2
"Nashville-Davidson--Murfreesboro--Franklin, TN",7
"Natchez, MS-LA",6
"Natchitoches, LA",6
"New Bern, NC",2
"Newberry, SC",3
"New Castle, IN",4
"New Castle, PA",4
"New Haven-Milford, CT",7
"New Orleans-Metairie, LA",7
"New Philadelphia-Dover, OH",4
"Newport, OR",2
"Newport, TN",2
"Newton, IA",5
"New Ulm, MN",5
"New York-Newark-Jersey City, NY-NJ-PA",7
"Niles-Benton Harbor, MI",4
"Nogales, AZ",7
"Norfolk, NE",5
"North Platte, NE",2
"North Port-Sarasota-Bradenton, FL",2
"North Vernon, IN",4
"North Wilkesboro, NC",3
"Norwalk, OH",4
"Norwich-New London, CT",5
"Oak Harbor, WA",2
"Ocala, FL",3
"Ocean City, NJ",5
"Odessa, TX",1
"Ogden-Clearfield, UT",2
"Ogdensburg-Massena, NY",5
"Oil City, PA",5
"Okeechobee, FL",5
"Oklahoma City, OK",1
"Olean, NY",5
"Olympia-Tumwater, WA",2
"Omaha-Council Bluffs, NE-IA",7
"Oneonta, NY",2
"Ontario, OR-ID",2
"Opelousas, LA",3
"Orangeburg, SC",3
"Orlando-Kissimmee-Sanford, FL",2
"Oshkosh-Neenah, WI",2
"Oskaloosa, IA",5
"Othello, WA",5
"Ottawa, KS",5
"Ottawa-Peru, IL",5
"Ottumwa, IA",5
"Owatonna, MN",5
"Owensboro, KY",5
"Owosso, MI",4
"Oxford, MS",8
"Oxford, NC",5
"Oxnard-Thousand Oaks-Ventura, CA",7
"Ozark, AL",2
"Paducah, KY-IL",3
"Pahrump, NV",2
"Palatka, FL",3
"Palestine, TX",3
"Palm Bay-Melbourne-Titusville, FL",2
"Pampa, TX",1
"Panama City, FL",2
"Paragould, AR",3
"Paris, TN",3
"Paris, TX",2
"Parkersburg-Vienna, WV",5
"Parsons, KS",5
"Payson, AZ",1
"Pensacola-Ferry Pass-Brent, FL",2
"Peoria, IL",5
"Peru, IN",4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7
"Phoenix-Mesa-Scottsdale, AZ",7
"Picayune, MS",5
"Pierre, SD",1
"Pine Bluff, AR",3
"Pinehurst-Southern Pines, NC",2
"Pittsburg, KS",6
"Pittsburgh, PA",7
"Pittsfield, MA",2
"Plainview, TX",1
"Platteville, WI",2
"Plattsburgh, NY",5
"Plymouth, IN",5
"Pocatello, ID",2
"Point Pleasant, WV-OH",5
"Ponca City, OK",2
"Pontiac, IL",5
"Poplar Bluff, MO",3
"Portales, NM",1
"Port Angeles, WA",2
"Port Clinton, OH",4
"Portland-South Portland, ME",2
"Portland-Vancouver-Hillsboro, OR-WA",2
"Port Lavaca, TX",5
"Port St. Lucie, FL",2
"Portsmouth, OH",4
"Pottsville, PA",5
"Prescott, AZ",2
"Price, UT",2
"Prineville, OR",2
"Providence-Warwick, RI-MA",7
"Provo-Orem, UT",2
"Pueblo, CO",2
"Pullman, WA",8
"Punta Gorda, FL",2
"Quincy, IL-MO",5
"Racine, WI",5
"Raleigh, NC",2
"Rapid City, SD",1
"Reading, PA",7
"Red Bluff, CA",2
"Redding, CA",2
"Red Wing, MN",2
"Reno, NV",7
"Rexburg, ID",8
"Richmond, IN",4
"Richmond, VA",2
"Richmond-Berea, KY",2
"Rio Grande City, TX",6
"Riverside-San Bernardino-Ontario, CA",7
"Riverton, WY",1
"Roanoke, VA",5
"Roanoke Rapids, NC",3
"Rochelle, IL",5
"Rochester, MN",5
"Rochester, NY",5
"Rockford, IL",5
"Rockingham, NC",3
"Rock Springs, WY",1
"Rocky Mount, NC",3
"Rolla, MO",2
"Rome, GA",2
"Roseburg, OR",2
"Roswell, NM",1
"Russellville, AR",2
"Ruston, LA",8
"Rutland, VT",5
"Sacramento--Roseville--Arden-Arcade, CA",7
"Safford, AZ",2
"Saginaw, MI",4
"St. Cloud, MN",5
"St. George, UT",2
"St. Joseph, MO-KS",3
"St. Louis, MO-IL",7
"St. Marys, GA",2
"Salem, OH",4
"Salem, OR",2
"Salina, KS",2
"Salinas, CA",7
"Salisbury, MD-DE",2
"Salt Lake City, UT",7
"San Angelo, TX",1
"San Antonio-New Braunfels, TX",2
"San Diego-Carlsbad, CA",7
"Sandpoint, ID",2
"Sandusky, OH",4
"Sanford, NC",5
"San Francisco-Oakland-Hayward, CA",7
"San Jose-Sunnyvale-Santa Clara, CA",7
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",7
"Santa Cruz-Watsonville, CA",7
"Santa Fe, NM",1
"Santa Maria-Santa Barbara, CA",7
"Santa Rosa, CA",2
"Sault Ste. Marie, MI",2
"Savannah, GA",2
"Sayre, PA",5
"Scottsbluff, NE",2
"Scottsboro, AL",5
"Scranton--Wilkes-Barre--Hazleton, PA",5
"Searcy, AR",2
"Seattle-Tacoma-Bellevue, WA",7
"Sebastian-Vero Beach, FL",2
"Sebring, FL",3
"Sedalia, MO",5
"Selinsgrove, PA",5
"Selma, AL",6
"Seneca, SC",2
"Seneca Falls, NY",4
"Sevierville, TN",5
"Seymour, IN",4
"Shawano, WI",5
"Shawnee, OK",2
"Sheboygan, WI",4
"Shelby, NC",3
"Shelbyville, TN",3
"Shelton, WA",2
"Sheridan, WY",2
"Sherman-Denison, TX",2
"Show Low, AZ",1
"Shreveport-Bossier City, LA",3
"Sidney, OH",4
"Sierra Vista-Douglas, AZ",1
"Sikeston, MO",3
"Silver City, NM",2
"Sioux City, IA-NE-SD",5
"Sioux Falls, SD",5
"Snyder, TX",1
"Somerset, KY",3
"Somerset, PA",5
"Sonora, CA",2
"South Bend-Mishawaka, IN-MI",5
"Spartanburg, SC",5
"Spearfish, SD",2
"Spencer, IA",5
"Spirit Lake, IA",5
"Spokane-Spokane Valley, WA",2
"Springfield, IL",2
"Springfield, MA",7
"Springfield, MO",2
"Springfield, OH",4
"Starkville, MS",8
"State College, PA",8
"Statesboro, GA",8
"Staunton-Waynesboro, VA",5
"Steamboat Springs, CO",2
"Stephenville, TX",2
"Sterling, CO",2
"Sterling, IL",5
"Stevens Point, WI",2
"Stillwater, OK",8
"Stockton-Lodi, CA",7
"Storm Lake, IA",5
"Sturgis, MI",4
"Sulphur Springs, TX",2
"Summerville, GA",5
"Summit Park, UT",2
"Sumter, SC",3
"Sunbury, PA",5
"Susanville, CA",7
"Syracuse, NY",5
"Tahlequah, OK",2
"Talladega-Sylacauga, AL",3
"Tallahassee, FL",8
"Tampa-St. Petersburg-Clearwater, FL",2
"Taos, NM",1
"Terre Haute, IN",5
"Texarkana, TX-AR",3
"The Dalles, OR",2
"The Villages, FL",5
"Thomaston, GA",3
"Thomasville, GA",2
"Tiffin, OH",4
"Tifton, GA",3
"Toccoa, GA",2
"Toledo, OH",4
"Topeka, KS",5
"Torrington, CT",5
"Traverse City, MI",5
"Trenton, NJ",7
"Troy, AL",6
"Truckee-Grass Valley, CA",7
"Tucson, AZ",7
"Tullahoma-Manchester, TN",5
"Tulsa, OK",7
"Tupelo, MS",3
"Tuscaloosa, AL",2
"Twin Falls, ID",5
"Tyler, TX",3
"Ukiah, CA",2
"Union City, TN-KY",5
"Urbana, OH",4
"Utica-Rome, NY",5
"Uvalde, TX",1
"Valdosta, GA",2
"Vallejo-Fairfield, CA",2
"Valley, AL",3
"Van Wert, OH",4
"Vermillion, SD",8
"Vernal, UT",5
"Vicksburg, MS",3
"Victoria, TX",2
"Vidalia, GA",3
"Vincennes, IN",5
"Vineland-Bridgeton, NJ",5
"Virginia Beach-Norfolk-Newport News, VA-NC",2
"Visalia-Porterville, CA",7
"Wabash, IN",5
"Waco, TX",2
"Wahpeton, ND-MN",5
"Walla Walla, WA",2
"Wapakoneta, OH",4
"Warner Robins, GA",2
"Warren, PA",5
"Warrensburg, MO",2
"Warsaw, IN",5
"Washington, IN",5
"Washington, NC",3
"Washington-Arlington-Alexandria, DC-VA-MD-WV",7
"Washington Court House, OH",4
"Waterloo-Cedar Falls, IA",5
"Watertown, SD",2
"Watertown-Fort Atkinson, WI",5
"Watertown-Fort Drum, NY",2
"Wauchula, FL",2
"Wausau, WI",5
"Waycross, GA",3
"Weatherford, OK",2
"Weirton-Steubenville, WV-OH",5
"Wenatchee, WA",5
"West Plains, MO",3
"Wheeling, WV-OH",5
"Whitewater-Elkhorn, WI",2
"Wichita, KS",2
"Wichita Falls, TX",2
"Williamsport, PA",5
"Williston, ND",1
"Willmar, MN",5
"Wilmington, NC",2
"Wilmington, OH",4
"Wilson, NC",3
"Winchester, VA-WV",5
"Winnemucca, NV",1
"Winona, MN",2
"Winston-Salem, NC",7
"Wisconsin Rapids-Marshfield, WI",5
"Woodward, OK",1
"Wooster, OH",4
"Worcester, MA-CT",5
"Yakima, WA",2
"Yankton, SD",2
"York-Hanover, PA",5
"Youngstown-Warren-Boardman, OH-PA",5
"Yuba City, CA",2
"Yuma, AZ",2
"Zanesville, OH",4
"Zapata, TX",2
